tag_id,name,category,count,aliases,is_core,is_attire
4378,pussy,0,373810,"[""pussy"", ""vulva"", ""vagina"", ""manko""]",False,False
268819,serafuku,0,320415,"[""serafuku"", ""sailor_fuku"", ""/se""]",False,True
400314,sleeveless,0,440737,"[""sleeveless"", ""no_sleeves""]",False,True
931006,solo_focus,0,366211,"[""solo_focus""]",False,False
431446,alternate_costume,0,444666,"[""alternate_costume"", ""alternate_outfit"", ""/acos"", ""alternative_costume""]",False,False
4025,choker,0,418494,"[""choker""]",False,True
435324,day,0,348549,"[""day""]",False,False
10863,tongue,0,390335,"[""tongue"", ""tongues""]",False,False
15522,pointy_ears,0,400472,"[""pointy_ears"", ""elven_ears"", ""elf_ears"", ""pointy_ear"", ""pointed_ears"", ""long_ears"", ""pointy-ears""]",True,False
474820,black_gloves,0,452960,"[""black_gloves"", ""black_glove""]",False,True
1731,socks,0,399382,"[""socks"", ""naked_socks"", ""leghighs"", ""sock""]",False,True
2646,hairclip,0,345231,"[""hairclip"", ""barrette"", ""hair_clips"", ""hair_clip"", ""hairclips""]",True,True
10228,elbow_gloves,0,311666,"[""elbow_gloves"", ""opera_gloves"", ""long_gloves"", ""/eg""]",False,True
1793,fang,0,330986,"[""fang""]",True,False
9843,midriff,0,306813,"[""midriff""]",False,True
2177,striped,0,24559,"[""striped"", ""stripes""]",False,False
581144,puffy_sleeves,0,360276,"[""puffy_sleeves"", ""/psleeves"", ""puffy_shoulders""]",False,True
2772,shiny,0,5014,"[""shiny""]",False,False
478849,collared_shirt,0,468726,"[""collared_shirt"", ""collared_blouse""]",False,True
9864,belt,0,356513,"[""belt"", ""belts""]",False,True
410129,looking_back,0,286686,"[""looking_back"", ""looking_over_shoulder"", ""turning""]",False,False
10926,pants,0,438921,"[""pants"", ""slacks"", ""long_pants"", ""trousers""]",False,True
401228,sword,0,281462,"[""sword"", ""swords""]",False,False
657955,artist_name,0,391008,"[""artist_name""]",False,False
455880,black_thighhighs,0,365144,"[""black_thighhighs""]",False,True
464549,cloud,0,297982,"[""cloud"", ""clouds""]",False,False
375171,indoors,0,374103,"[""indoors""]",False,False
1407561,virtual_youtuber,0,411064,"[""virtual_youtuber"", ""vtuber""]",False,False
72,cat_ears,0,289516,"[""cat_ears"", ""catears"", ""/cat"", ""nekomimi""]",True,False
